package,category,file,message
safer-buffer-2.1.2,GENERATE_TYPES,1,"safer.js(35,12): error TS2348: Value of type 'BufferConstructor' is not callable. Did you mean to include 'new'?"
safer-buffer-2.1.2,GENERATE_TYPES,1,"safer.js(47,15): error TS2348: Value of type 'BufferConstructor' is not callable. Did you mean to include 'new'?"
safer-buffer-2.1.2,GENERATE_TYPES,1,"safer.js(61,38): error TS2339: Property 'binding' does not exist on type 'Process'."
safer-buffer-2.1.2,GENERATE_TYPES,1,"tests.js(5,20): error TS2792: Cannot find module 'tape'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
safer-buffer-2.1.2,GENERATE_TYPES,1,"tests.js(9,21): error TS2792: Cannot find module './'. Did you mean to set the 'moduleResolution' option to 'nodenext', or to add aliases to the 'paths' option?"
safer-buffer-2.1.2,GENERATE_TYPES,1,"tests.js(190,64): error TS2348: Value of type '{ new (size: number): Buffer<ArrayBuffer>; prototype: Buffer<ArrayBufferLike>; }' is not callable. Did you mean to include 'new'?"
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(117,3): error TS2740: Type 'any[]' is missing the following properties from type 'Set<any>': add, clear, delete, has, and 9 more."
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(118,9): error TS2339: Property 'sort' does not exist on type 'Set<any>'."
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(131,5): error TS2322: Type '{ pattern: number; count: undefined[]; digits: number; }' is not assignable to type 'string'."
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(157,3): error TS2322: Type '{ pattern: string; count: number[]; digits: number; }' is not assignable to type 'string'."
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(166,30): error TS2339: Property 'length' does not exist on type 'Set<any>'."
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(168,30): error TS2345: Argument of type 'string' is not assignable to parameter of type 'number'."
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(171,39): error TS2339: Property 'pattern' does not exist on type 'string'."
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(171,55): error TS2339: Property 'pattern' does not exist on type 'string'."
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(172,16): error TS2339: Property 'count' does not exist on type 'string'."
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(173,14): error TS2339: Property 'count' does not exist on type 'string'."
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(176,12): error TS2339: Property 'count' does not exist on type 'string'."
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(176,27): error TS2339: Property 'count' does not exist on type 'string'."
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(177,12): error TS2551: Property 'string' does not exist on type 'string'. Did you mean 'toString'?"
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(177,26): error TS2339: Property 'pattern' does not exist on type 'string'."
to-regex-range-5.0.1,GENERATE_TYPES,1,"index.js(177,54): error TS2339: Property 'count' does not exist on type 'string'."
